2019-06-18 02:34:39,636:INFO:Game Start: ftl:2019-06-18 02:34:39.636014
2019-06-18 02:34:39,637:INFO:Starting New Game.
2019-06-18 02:34:49,885:INFO:Playing Game.
2019-06-18 02:34:54,350:INFO:[1186, 420] Waypoint Clicked 
2019-06-18 02:34:55,058:INFO:[1186, 420] Failed Jump. 
2019-06-18 02:34:55,774:INFO:[2130, 422] Waypoint Clicked 
2019-06-18 02:34:56,491:INFO:[2130, 422] Failed Jump. 
2019-06-18 02:34:57,212:INFO:[1392, 442] Waypoint Clicked 
2019-06-18 02:34:57,904:INFO:[1392, 442] Failed Jump. 
2019-06-18 02:34:58,621:INFO:[1020, 522] Waypoint Clicked 
2019-06-18 02:34:59,321:INFO:[1020, 522] Successful Jump! 
2019-06-18 02:35:06,321:INFO:[1020, 522] Looking for Target.
2019-06-18 02:35:07,072:INFO:[1020, 522] Ship Encountered. 
